YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1912,5.37,6.17,10.17,15.17,21.27,24.37,999.90,26.47,20.67,15.57,8.77,2.82,4.87,15.54,25.76,15.00,15.29
1913,3.02,6.22,10.22,15.92,21.72,23.82,27.22,26.82,20.12,15.62,11.92,4.17,4.02,15.95,25.95,15.89,15.45
1914,9.67,7.27,10.87,16.07,20.77,25.67,26.57,26.27,23.17,16.07,11.47,1.92,7.04,15.90,26.17,16.90,16.50
1915,3.62,7.92,6.62,15.72,999.90,25.12,26.62,24.62,22.22,16.92,11.42,6.87,4.49,13.60,25.45,16.85,15.10
1916,6.97,10.37,15.07,15.27,21.47,26.67,26.77,24.57,21.37,15.47,8.17,5.32,8.07,17.27,26.00,15.00,16.59
1917,5.12,7.92,10.42,15.12,18.02,25.02,28.12,26.02,22.62,15.72,12.02,6.87,6.12,14.52,26.39,16.79,15.95
1918,1.57,9.07,13.67,15.07,20.97,26.27,27.27,25.97,20.97,17.07,7.77,1.82,5.84,16.57,26.50,15.27,16.05
1919,2.52,7.72,10.92,16.32,20.12,22.42,25.72,26.72,22.32,16.42,9.02,5.47,4.02,15.79,24.95,15.92,15.17
1920,4.07,8.87,10.67,13.67,20.37,23.47,26.47,24.37,22.97,16.37,8.77,6.12,6.14,14.90,24.77,16.04,15.46
1921,7.22,8.22,13.52,15.32,21.22,23.22,25.72,26.32,24.52,17.92,11.92,8.77,7.19,16.69,25.09,18.12,16.77
1922,3.77,7.17,10.57,15.87,21.17,24.57,27.47,27.37,23.67,16.27,9.37,7.82,6.57,15.87,26.47,16.44,16.34
1923,9.02,8.32,9.12,16.52,21.42,25.82,26.72,26.02,21.92,14.62,9.02,1.47,8.39,15.69,26.19,15.19,16.36
1924,3.57,7.07,9.07,14.77,19.27,27.37,26.47,27.07,22.07,16.57,11.77,2.92,4.04,14.37,26.97,16.80,15.55
1925,3.12,10.32,13.42,18.52,21.42,26.52,27.22,24.42,22.12,15.42,9.42,3.77,5.45,17.79,26.05,15.65,16.24
1926,2.37,9.87,8.97,13.87,19.47,24.87,25.47,26.07,23.17,16.97,9.87,5.02,5.34,14.10,25.47,16.67,15.40
1927,7.32,10.32,11.32,17.22,23.42,24.42,26.92,26.52,22.52,17.02,13.32,3.12,7.55,17.32,25.95,17.62,17.11
1928,6.72,5.92,12.82,14.72,20.52,26.02,26.92,24.12,21.32,17.82,9.02,5.42,5.25,16.02,25.69,16.05,15.75
1929,5.02,3.72,10.62,16.62,19.22,25.02,26.12,25.92,22.42,16.42,4.92,5.62,4.72,15.49,25.69,14.59,15.12
1930,1.42,10.62,9.32,18.32,19.62,25.52,27.02,26.82,23.62,16.42,9.22,4.23,5.89,15.75,26.45,16.42,16.13
1931,5.03,8.23,9.33,14.43,19.03,26.03,26.43,24.93,25.33,18.13,10.03,3.83,5.83,14.26,25.80,17.83,15.93
1932,4.43,10.73,8.43,16.43,20.23,25.33,27.43,26.03,20.53,14.33,9.13,2.23,6.33,15.03,26.26,14.66,15.57
1933,5.93,3.83,12.43,14.03,20.13,25.93,27.73,26.13,24.63,18.33,11.23,8.93,4.00,15.53,26.60,18.06,16.05
1934,5.83,8.83,11.63,17.83,22.63,27.23,28.93,27.63,22.93,19.53,11.93,7.23,7.86,17.36,27.93,18.13,17.82
1935,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1936,4.54,7.84,12.94,16.44,21.04,26.34,26.64,26.44,21.74,15.14,8.44,6.64,5.83,16.81,26.47,15.11,16.05
1937,3.34,8.34,9.04,16.74,21.44,25.74,27.44,27.34,23.44,17.44,9.54,5.54,6.11,15.74,26.84,16.81,16.37
1938,5.94,9.44,13.34,16.04,21.04,25.74,26.24,26.64,22.74,17.54,7.94,6.24,6.97,16.81,26.21,16.07,16.52
1939,6.64,4.74,12.44,16.84,21.64,26.94,26.84,25.44,23.64,16.54,8.54,8.04,5.87,16.97,26.41,16.24,16.37
1940,3.14,7.64,12.24,15.74,20.94,24.14,27.34,25.64,23.44,17.54,8.84,8.65,6.27,16.31,25.71,16.61,16.22
1941,6.35,8.85,9.45,15.05,20.25,23.45,25.65,25.65,21.65,16.65,10.65,6.85,7.95,14.92,24.92,16.32,16.03
1942,5.25,6.05,999.90,15.55,20.55,25.85,26.95,999.90,999.90,999.90,999.90,999.90,6.05,15.68,26.35,999.90,16.04
1943,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1944,3.03,7.00,10.83,15.02,21.04,26.23,27.04,26.79,21.19,16.56,9.40,2.83,4.65,15.63,26.69,15.72,15.67
1945,5.64,9.12,12.52,15.14,23.17,26.17,26.66,27.26,23.65,15.48,11.30,4.95,5.86,16.94,26.70,16.81,16.58
1946,3.56,7.16,12.75,19.64,20.82,26.39,27.79,27.21,22.87,17.43,8.40,999.90,5.22,17.74,27.13,16.23,16.58
1947,3.70,5.90,10.43,15.48,22.04,27.26,30.09,28.45,25.80,19.37,7.81,4.75,4.44,15.98,28.60,17.66,16.67
1948,1.85,5.55,8.66,19.18,22.27,27.20,999.90,27.47,22.99,15.80,8.00,7.80,4.05,16.70,27.68,15.60,16.01
1949,-1.54,6.75,12.23,14.82,21.97,25.82,27.71,25.78,22.37,15.21,12.80,4.68,4.34,16.34,26.44,16.79,15.98
1950,8.32,10.33,11.90,16.70,21.24,26.50,25.61,25.97,21.51,19.11,10.03,6.85,7.78,16.61,26.03,16.88,16.83
1951,4.05,6.51,10.00,15.06,21.23,26.06,28.85,27.60,23.60,18.12,8.30,5.76,5.80,15.43,27.50,16.67,16.35
1952,8.28,7.64,9.38,15.40,20.83,27.61,26.37,28.50,22.19,15.67,7.11,4.74,7.23,15.20,27.49,14.99,16.23
1953,8.78,5.95,13.46,15.82,20.00,28.44,28.37,26.83,23.24,16.17,9.69,2.40,6.49,16.43,27.88,16.37,16.79
1954,6.47,10.64,11.12,18.91,20.62,26.54,28.78,26.87,24.62,17.25,10.83,5.65,6.50,16.88,27.40,17.57,17.09
1955,4.08,5.52,11.28,16.95,21.11,25.11,25.77,26.54,23.52,16.79,9.68,6.79,5.08,16.45,25.81,16.66,16.00
1956,6.32,3.88,11.94,15.21,22.84,27.77,27.66,26.34,24.05,18.33,7.66,6.24,5.66,16.66,27.26,16.68,16.57
1957,5.66,11.31,10.96,14.49,19.81,26.23,28.39,27.06,22.13,14.93,6.98,6.82,7.74,15.09,27.23,14.68,16.18
1958,4.29,7.26,7.40,14.57,21.85,27.72,28.62,27.45,22.12,15.50,10.16,5.39,6.12,14.61,27.93,15.93,16.15
1959,4.87,6.83,10.82,15.99,21.94,26.28,26.37,27.42,23.94,16.15,8.20,6.17,5.70,16.25,26.69,16.10,16.18
1960,3.43,4.78,10.72,17.52,21.43,27.10,26.04,26.32,23.19,16.61,10.55,0.50,4.79,16.56,26.49,16.78,16.16
1961,3.05,7.28,11.07,15.96,21.86,25.76,26.46,26.18,21.94,16.68,5.64,5.11,3.61,16.30,26.13,14.75,15.20
1962,2.12,10.13,8.99,16.38,22.93,25.55,26.75,27.61,22.85,17.43,10.47,5.73,5.79,16.10,26.64,16.92,16.36
1963,2.00,7.63,11.67,17.81,21.94,25.77,28.44,26.18,23.05,18.48,10.17,2.43,5.12,17.14,26.80,17.23,16.57
1964,2.58,2.50,9.85,15.73,21.80,26.40,28.81,27.39,22.73,17.15,9.67,4.77,2.50,15.79,27.53,16.52,15.59
1965,7.26,5.44,7.94,17.49,21.63,26.21,28.91,26.28,22.62,17.09,12.91,6.81,5.82,15.69,27.13,17.54,16.55
1966,0.81,5.09,12.11,16.28,21.84,25.38,29.69,25.14,22.55,15.18,11.26,4.71,4.24,16.74,26.74,16.33,16.01
1967,5.70,7.23,14.37,19.24,21.06,24.89,27.50,24.68,21.02,15.74,9.01,2.07,5.88,18.22,25.69,15.26,16.26
1968,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1969,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1970,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1971,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1972,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1973,4.22,6.84,11.67,13.15,19.75,24.81,26.81,26.11,21.53,16.88,11.00,5.77,5.17,14.86,25.91,16.47,15.60
1974,5.01,6.72,14.61,16.88,23.83,27.03,27.49,24.37,18.66,15.66,9.01,4.46,5.83,18.44,26.30,14.44,16.25
1975,5.48,6.13,10.31,14.28,19.56,25.65,24.70,25.36,19.78,16.37,9.02,5.47,5.36,14.72,25.24,15.06,15.09
1976,3.87,11.14,11.55,17.12,20.02,25.95,25.59,26.46,21.28,12.88,5.26,3.22,6.83,16.23,26.00,13.14,15.55
1977,2.88,8.31,10.39,16.36,22.62,27.22,28.66,28.00,25.28,17.22,11.05,7.51,4.80,16.46,27.96,17.85,16.77
1978,1.43,5.78,12.39,18.54,21.91,25.93,28.22,26.35,21.34,16.34,9.90,3.21,4.91,17.61,26.83,15.86,16.30
1979,1.95,6.94,10.67,16.57,20.51,24.79,28.07,25.52,23.02,18.23,7.46,5.08,4.03,15.92,26.13,16.24,15.58
1980,4.73,7.45,11.03,14.93,20.78,29.45,30.48,26.75,22.65,14.98,7.02,6.95,5.75,15.58,28.89,14.88,16.28
1981,5.72,8.34,11.36,18.15,21.06,26.96,27.43,25.07,21.71,16.06,12.49,7.71,7.00,16.86,26.49,16.75,16.78
1982,4.18,6.42,12.31,16.50,20.77,25.64,28.01,27.76,23.76,15.81,8.80,3.57,6.10,16.53,27.14,16.12,16.47
1983,4.24,7.97,11.96,13.31,19.83,25.57,28.39,28.27,25.17,17.77,11.46,2.07,5.26,15.03,27.41,18.13,16.46
1984,4.00,8.54,11.39,16.33,23.29,25.19,26.99,25.40,21.40,14.86,9.62,5.93,4.87,17.00,25.86,15.29,15.76
1985,3.14,6.70,12.87,18.16,21.99,25.18,27.20,27.74,22.18,16.80,12.25,4.91,5.26,17.67,26.71,17.08,16.68
1986,7.11,8.71,13.86,18.81,21.68,25.20,27.07,26.73,22.97,15.78,8.24,4.74,6.91,18.12,26.33,15.66,16.76
1987,4.68,7.67,9.93,14.75,20.50,25.18,27.62,26.77,22.10,18.29,9.90,4.39,5.70,15.06,26.52,16.76,16.01
1988,3.45,7.41,11.16,16.08,20.91,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.08,16.05,999.90,999.90,999.90
1989,999.90,999.90,999.90,999.90,999.90,999.90,27.44,26.33,21.99,17.27,10.63,2.81,999.90,999.90,26.59,16.63,999.90
1990,5.71,8.23,11.59,16.98,21.31,29.36,26.54,25.31,23.60,17.23,11.32,5.32,5.58,16.63,27.07,17.38,16.67
1991,4.26,9.67,12.82,17.76,23.33,26.47,25.81,999.90,999.90,999.90,999.90,999.90,6.42,17.97,26.09,999.90,16.84
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1993,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.59,999.90,999.90,999.90,999.90,999.90
1994,5.02,7.03,12.16,16.35,21.10,28.59,28.64,27.84,23.10,16.82,10.54,7.71,5.88,16.54,28.36,16.82,16.90
1995,6.50,11.10,12.02,15.67,21.29,25.13,28.14,27.90,22.07,17.53,11.78,6.62,8.44,16.33,27.06,17.13,17.24
1996,5.81,9.64,10.28,16.74,25.99,27.32,27.74,25.74,21.48,17.03,10.78,7.96,7.36,17.67,26.93,16.43,17.10
1997,4.63,6.08,13.41,14.01,20.99,25.61,28.12,27.05,24.30,16.70,8.97,1.69,6.22,16.14,26.93,16.66,16.49
1998,4.63,8.22,10.95,14.61,23.38,27.69,29.24,26.46,26.15,18.12,11.86,6.49,4.85,16.31,27.80,18.71,16.92
1999,8.33,10.89,12.61,16.25,20.54,25.15,27.33,27.93,22.95,17.12,12.97,5.43,8.57,16.47,26.80,17.68,17.38
2000,7.51,11.71,12.97,18.25,24.94,26.07,28.84,28.01,24.92,16.66,6.96,4.09,8.22,18.72,27.64,16.18,17.69
2001,3.31,8.99,10.99,17.84,22.34,27.55,29.60,27.11,24.05,18.26,11.45,5.63,5.46,17.06,28.09,17.92,17.13
2002,6.80,7.27,10.77,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,6.57,999.90,999.90,999.90,999.90
2003,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,6.18,999.90,999.90,999.90,999.90,999.90
2004,7.01,6.39,14.38,16.09,22.77,25.99,26.74,25.37,22.36,16.76,8.93,4.96,6.53,17.75,26.03,16.02,16.58
2005,7.82,8.52,10.95,15.41,21.11,27.24,28.44,25.99,24.81,16.87,11.55,6.17,7.10,15.82,27.22,17.74,16.97
2006,8.33,8.61,13.08,19.86,24.52,27.85,28.74,26.23,20.46,15.79,11.02,5.31,7.70,19.15,27.61,15.76,17.56
2007,2.80,7.71,13.11,15.43,19.68,25.58,26.60,27.75,24.90,19.18,11.04,6.67,5.27,16.07,26.64,18.37,16.59
2008,5.09,10.45,13.10,16.80,22.10,28.28,26.66,25.98,21.59,16.57,10.59,5.92,7.40,17.33,26.97,16.25,16.99
2009,6.31,9.96,13.56,16.57,22.32,27.17,27.96,27.28,22.32,16.16,11.33,2.82,7.40,17.48,27.47,16.60,17.24
2010,4.29,6.40,11.15,16.90,21.24,27.70,26.61,27.31,24.62,18.18,9.66,7.46,4.50,16.43,27.21,17.49,16.41
2011,4.85,5.56,14.95,19.85,21.67,28.81,29.86,30.68,23.63,18.04,10.88,1.99,5.96,18.82,29.78,17.52,18.02
2012,7.85,7.84,14.28,19.91,22.93,28.97,28.66,28.76,23.64,17.53,12.64,6.37,5.89,19.04,28.80,17.94,17.92
2013,5.30,8.02,13.13,17.00,22.50,29.02,27.16,28.19,23.90,16.35,9.69,4.84,6.56,17.54,28.12,16.65,17.22
2014,5.40,8.80,12.02,16.93,21.80,27.70,27.73,26.91,22.28,18.13,8.42,6.54,6.35,16.92,27.45,16.28,16.75
2015,3.79,8.29,12.45,16.58,19.97,26.32,28.62,28.72,26.27,18.37,10.02,5.92,6.21,16.33,27.89,18.22,17.16
2016,4.67,9.62,13.82,16.57,20.52,27.67,30.87,26.47,23.07,19.62,12.42,5.67,6.74,16.97,28.34,18.37,17.60
2017,7.27,11.27,15.69,17.49,21.14,27.54,28.29,26.09,23.54,16.89,12.99,6.00,8.07,18.11,27.31,17.81,17.82
2018,4.65,8.70,13.75,17.25,24.80,28.45,28.65,27.75,23.05,16.40,8.50,5.30,6.45,18.60,28.28,15.98,17.33
2019,5.95,8.80,11.25,17.95,21.50,26.25,29.45,30.25,26.10,15.55,9.65,7.40,6.68,16.90,28.65,17.10,17.33
2020,7.35,7.50,14.05,17.50,24.00,28.00,30.90,29.40,22.40,17.20,12.75,6.05,7.42,18.52,29.43,17.45,18.20
2021,5.40,6.65,12.90,16.50,22.60,999.90,999.90,999.90,999.90,999.90,999.90,999.90,6.03,17.33,999.90,999.90,999.90
